,point_differential,home_offensive_efficiency,away_offensive_efficiency,home_defensive_efficiency,away_defensive_efficiency
639,-11,92.46805648957633,113.55815554026154,110.96166778749159,94.63179628355127
640,1,112.64080100125156,119.52861952861953,111.07634543178972,121.21212121212122
642,1,98.87005649717514,98.28788839568801,97.30069052102951,99.8731769181991
643,11,104.16666666666667,83.47725964306275,87.56038647342996,99.30915371329878
644,25,124.28048142333856,92.34828496042216,91.57509157509158,125.32981530343008
645,3,101.91846522781776,94.80746791131855,97.42206235011992,99.18319719953325
646,17,105.14018691588785,76.00793126239259,76.7690253671562,104.09781890284202
651,3,109.18432883750802,96.43916913946586,104.36737315350031,100.89020771513353
653,15,115.57610241820768,87.10801393728224,88.90469416785206,113.2404181184669
655,12,109.1549295774648,85.91065292096219,88.02816901408451,106.52920962199313
658,10,98.99683210137275,86.11552729199788,85.79725448785638,99.36406995230524
659,-9,84.82714468629962,108.69565217391303,99.23175416133162,92.91725105189342
660,-5,109.21501706484642,117.34693877551021,117.74744027303754,108.843537414966
661,10,109.13853317811409,95.36384976525822,94.58672875436555,110.03521126760565
664,8,117.11430356027483,102.0097442143727,104.62211118051219,114.19001218026796
665,15,102.07388204795853,79.94670219853431,77.7705767984446,104.93004663557628
667,-3,108.81696428571428,115.64820102798399,113.00223214285714,111.36493432324386
669,23,120.35583464154894,92.54291845493562,90.2668759811617,123.39055793991416
670,18,129.3929712460064,94.08602150537635,100.63897763578275,120.96774193548387
672,34,131.2460468058191,73.7063778580024,77.48260594560405,124.84957882069794
673,13,108.22510822510823,84.77096966091612,88.12615955473098,104.10469958358122
674,-1,108.37292161520192,114.12708204811844,109.85748218527316,112.58482418260331
675,-12,87.96296296296296,111.29032258064515,106.4814814814815,91.93548387096774
